AP_CONTRACT_REF,AP_USER_ID,AP_PRODUCT_CODE,AP_START_DATE,AP_END_DATE,AP_MONTHLY_PREMIUM,AP_CONTRACT_STATE,AP_BROKER_CODE
AP-000077,46,AUTO_BASIC,2024-09-15,2025-09-15,231.69,ACTIVE,BRK-502
AP-000078,46,AUTO_PREMIUM,2022-11-10,2023-11-10,179.05,TERMINATED,BRK-724
AP-000079,48,ASSIST_BASIC,2023-06-24,2024-06-23,34.93,ACTIVE,BRK-201
AP-000080,48,ASSIST_PREMIUM,2023-03-05,2024-03-04,234.8,TERMINATED,BRK-183
AP-000081,48,ASSIST_BASIC,2023-02-13,2024-02-13,149.41,TERMINATED,BRK-448
AP-000082,49,ASSIST_BASIC,2023-02-11,2024-02-11,249.77,ACTIVE,BRK-611
AP-000083,50,AUTO_BASIC,2023-09-22,2024-09-21,146.5,ACTIVE,BRK-243
AP-000084,50,ASSIST_PREMIUM,2025-06-23,2026-06-23,96.02,SUSPENDED,BRK-270
AP-000085,51,ASSIST_BASIC,2023-12-21,2024-12-20,200.32,SUSPENDED,BRK-646
AP-000086,51,AUTO_BASIC,2023-03-03,2024-03-02,109.6,TERMINATED,BRK-179
AP-000087,52,ASSIST_PREMIUM,2024-06-24,2025-06-24,123.94,ACTIVE,BRK-302
AP-000088,54,ASSIST_BASIC,2023-09-23,2024-09-22,25.73,SUSPENDED,BRK-679
AP-000089,54,ASSIST_BASIC,2025-05-31,2026-05-31,186.65,TERMINATED,BRK-141
AP-000090,54,ASSIST_PREMIUM,2025-12-26,2026-12-26,139.73,ACTIVE,BRK-093
AP-000091,55,ASSIST_BASIC,2023-07-31,2024-07-30,93.4,SUSPENDED,BRK-004
AP-000092,55,AUTO_PREMIUM,2024-12-22,2025-12-22,152.04,ACTIVE,BRK-847
AP-000093,58,ASSIST_BASIC,2026-04-06,2027-04-06,39.81,ACTIVE,BRK-965
AP-000094,58,AUTO_BASIC,2022-10-21,2023-10-21,206.14,TERMINATED,BRK-566
AP-000095,58,ASSIST_BASIC,2026-01-07,2027-01-07,124.78,TERMINATED,BRK-055
AP-000096,59,AUTO_PREMIUM,2024-12-24,2025-12-24,196.63,SUSPENDED,BRK-843
AP-000097,60,AUTO_PREMIUM,2024-04-26,2025-04-26,155.82,SUSPENDED,BRK-978
AP-000098,60,AUTO_PREMIUM,2023-05-21,2024-05-20,201.09,ACTIVE,BRK-505
AP-000099,60,AUTO_BASIC,2023-05-07,2024-05-06,212.45,SUSPENDED,BRK-573
AP-000100,63,AUTO_BASIC,2024-09-23,2025-09-23,133.69,ACTIVE,BRK-915
AP-000101,63,ASSIST_PREMIUM,2022-09-29,2023-09-29,221.81,SUSPENDED,BRK-328
AP-000102,63,AUTO_BASIC,2026-03-20,2027-03-20,104.92,ACTIVE,BRK-027
AP-000103,64,ASSIST_BASIC,2023-01-22,2024-01-22,93.17,TERMINATED,BRK-872
AP-000104,64,AUTO_PREMIUM,2025-09-13,2026-09-13,86.35,ACTIVE,BRK-333
AP-000105,64,ASSIST_BASIC,2024-01-04,2025-01-03,225.52,SUSPENDED,BRK-116
AP-000106,65,ASSIST_PREMIUM,2025-03-28,2026-03-28,183.79,TERMINATED,BRK-643
AP-000107,65,ASSIST_PREMIUM,2022-09-10,2023-09-10,38.41,TERMINATED,BRK-715
AP-000108,65,ASSIST_PREMIUM,2023-01-05,2024-01-05,144.02,SUSPENDED,BRK-915
AP-000109,67,ASSIST_BASIC,2023-05-28,2024-05-27,79.9,SUSPENDED,BRK-686
AP-000110,67,ASSIST_PREMIUM,2026-02-18,2027-02-18,215.83,TERMINATED,BRK-411
AP-000111,68,AUTO_BASIC,2023-11-05,2024-11-04,61.59,TERMINATED,BRK-195
AP-000112,69,AUTO_PREMIUM,2025-03-25,2026-03-25,171.95,ACTIVE,BRK-690
AP-000113,69,ASSIST_PREMIUM,2023-12-18,2024-12-17,111.71,TERMINATED,BRK-836
AP-000114,69,ASSIST_BASIC,2026-07-01,2027-07-01,86.42,TERMINATED,BRK-993
AP-000115,70,AUTO_BASIC,2025-01-18,2026-01-18,81.43,TERMINATED,BRK-524
AP-000116,70,AUTO_PREMIUM,2023-08-26,2024-08-25,97.6,TERMINATED,BRK-294
AP-000117,71,AUTO_BASIC,2025-02-25,2026-02-25,64.41,SUSPENDED,BRK-481
AP-000118,71,AUTO_BASIC,2025-02-22,2026-02-22,87.75,SUSPENDED,BRK-233
AP-000119,73,ASSIST_PREMIUM,2026-03-20,2027-03-20,108.04,ACTIVE,BRK-764
AP-000120,73,ASSIST_BASIC,2024-05-12,2025-05-12,61.04,ACTIVE,BRK-865
AP-000121,76,ASSIST_PREMIUM,2025-01-26,2026-01-26,54.87,TERMINATED,BRK-861
AP-000122,76,ASSIST_BASIC,2024-05-29,2025-05-29,239.46,ACTIVE,BRK-472
AP-000123,76,ASSIST_PREMIUM,2022-12-08,2023-12-08,40.85,ACTIVE,BRK-423
AP-000124,77,AUTO_BASIC,2024-11-20,2025-11-20,180.05,SUSPENDED,BRK-305
AP-000125,79,ASSIST_PREMIUM,2023-10-28,2024-10-27,109.42,TERMINATED,BRK-266
AP-000126,81,ASSIST_BASIC,2022-11-24,2023-11-24,173.48,SUSPENDED,BRK-720
AP-000127,83,AUTO_PREMIUM,2023-02-05,2024-02-05,30.53,ACTIVE,BRK-626
AP-000128,83,AUTO_PREMIUM,2023-10-11,2024-10-10,156.84,ACTIVE,BRK-492
AP-000129,83,AUTO_PREMIUM,2023-07-04,2024-07-03,51.59,ACTIVE,BRK-176
AP-000130,84,AUTO_PREMIUM,2023-06-18,2024-06-17,57.95,SUSPENDED,BRK-750
AP-000131,84,ASSIST_BASIC,2024-12-21,2025-12-21,115.73,SUSPENDED,BRK-099
AP-000132,85,AUTO_BASIC,2023-10-06,2024-10-05,160.77,SUSPENDED,BRK-192
AP-000133,88,ASSIST_BASIC,2023-07-16,2024-07-15,136.73,SUSPENDED,BRK-649
AP-000134,88,AUTO_BASIC,2023-10-11,2024-10-10,60.55,ACTIVE,BRK-182
AP-000135,92,ASSIST_BASIC,2025-09-05,2026-09-05,200.66,SUSPENDED,BRK-888
AP-000136,93,ASSIST_BASIC,2026-02-25,2027-02-25,128.33,ACTIVE,BRK-131
AP-000137,94,AUTO_PREMIUM,2024-06-21,2025-06-21,51.37,SUSPENDED,BRK-920
AP-000138,94,AUTO_BASIC,2026-03-25,2027-03-25,84.54,TERMINATED,BRK-029
AP-000139,94,AUTO_PREMIUM,2025-09-07,2026-09-07,201.6,SUSPENDED,BRK-218
AP-000140,95,ASSIST_BASIC,2023-04-01,2024-03-31,128.9,TERMINATED,BRK-011
AP-000141,97,AUTO_BASIC,2023-08-03,2024-08-02,110.69,TERMINATED,BRK-034
AP-000142,97,AUTO_PREMIUM,2022-09-05,2023-09-05,188.31,ACTIVE,BRK-848
AP-000143,97,ASSIST_BASIC,2022-10-24,2023-10-24,90.11,SUSPENDED,BRK-975
AP-000144,98,ASSIST_PREMIUM,2024-04-16,2025-04-16,62.54,SUSPENDED,BRK-598
AP-000145,99,ASSIST_PREMIUM,2022-09-22,2023-09-22,38.62,SUSPENDED,BRK-324
AP-000146,100,AUTO_BASIC,2025-08-01,2026-08-01,169.08,SUSPENDED,BRK-839
AP-000147,100,AUTO_PREMIUM,2025-12-05,2026-12-05,169.28,SUSPENDED,BRK-296
